,County,Candidate,Party,Share,Votes,Election Day,Mail,Provisional
176,MONROE,"SHAPIRO , JOSHUA D",DEM,53.12%,"43,230",18220,24248,762
177,MONROE,"HEIDELBAUGH, HEATHER S",REP,43.62%,"35,501",27542,7351,608
178,MONROE,"WASSMER, DANIEL",LIB,2.03%,"1,654",1132,489,33
179,MONROE,"WEISS, RICHARD L",GRN,1.23%,997,531,445,21
180,MONTGOMERY,"SHAPIRO , JOSHUA D",DEM,62.00%,"313,151",117773,193120,2258
181,MONTGOMERY,"HEIDELBAUGH, HEATHER S",REP,35.35%,"178,554",134697,42402,1455
182,MONTGOMERY,"WASSMER, DANIEL",LIB,1.66%,"8,397",5553,2779,65
183,MONTGOMERY,"WEISS, RICHARD L",GRN,0.99%,"4,984",2474,2472,38
184,MONTOUR,"SHAPIRO , JOSHUA D",DEM,40.70%,"3,943",1823,2096,24
185,MONTOUR,"HEIDELBAUGH, HEATHER S",REP,55.99%,"5,424",4355,1021,48
186,MONTOUR,"WASSMER, DANIEL",LIB,2.29%,222,166,55,1
187,MONTOUR,"WEISS, RICHARD L",GRN,1.02%,99,53,46,0
188,NORTHAMPTON,"SHAPIRO , JOSHUA D",DEM,49.97%,"82,853",29860,52172,821
189,NORTHAMPTON,"HEIDELBAUGH, HEATHER S",REP,47.09%,"78,082",58700,18511,871
190,NORTHAMPTON,"WASSMER, DANIEL",LIB,1.81%,"3,004",1794,1161,49
191,NORTHAMPTON,"WEISS, RICHARD L",GRN,1.12%,"1,860",916,918,26
192,NORTHUMBERLAND,"SHAPIRO , JOSHUA D",DEM,33.62%,"14,036",8044,5743,249
193,NORTHUMBERLAND,"HEIDELBAUGH, HEATHER S",REP,63.13%,"26,353",22855,3071,427
194,NORTHUMBERLAND,"WASSMER, DANIEL",LIB,2.02%,844,688,145,11
195,NORTHUMBERLAND,"WEISS, RICHARD L",GRN,1.22%,510,368,132,10
196,PERRY,"SHAPIRO , JOSHUA D",DEM,25.49%,"6,234",3205,2983,46
197,PERRY,"HEIDELBAUGH, HEATHER S",REP,71.49%,"17,483",14983,2353,147
198,PERRY,"WASSMER, DANIEL",LIB,2.08%,509,401,106,2
199,PERRY,"WEISS, RICHARD L",GRN,0.94%,230,145,81,4
200,PHILADELPHIA,"SHAPIRO , JOSHUA D",DEM,80.72%,"572,158",236414,324958,10786
201,PHILADELPHIA,"HEIDELBAUGH, HEATHER S",REP,16.53%,"117,140",86828,28226,2086
202,PHILADELPHIA,"WASSMER, DANIEL",LIB,1.24%,"8,822",4793,3817,212
203,PHILADELPHIA,"WEISS, RICHARD L",GRN,1.51%,"10,715",4451,6104,160
204,PIKE,"SHAPIRO , JOSHUA D",DEM,38.92%,"12,503",4085,8261,157
205,PIKE,"HEIDELBAUGH, HEATHER S",REP,57.83%,"18,578",13835,4512,231
206,PIKE,"WASSMER, DANIEL",LIB,2.11%,678,439,227,12
207,PIKE,"WEISS, RICHARD L",GRN,1.14%,367,190,170,7
208,POTTER,"SHAPIRO , JOSHUA D",DEM,18.67%,"1,667",922,729,16
209,POTTER,"HEIDELBAUGH, HEATHER S",REP,79.00%,"7,055",6170,796,89
210,POTTER,"WASSMER, DANIEL",LIB,1.55%,138,115,20,3
211,POTTER,"WEISS, RICHARD L",GRN,0.78%,70,51,18,1
212,SCHUYLKILL,"SHAPIRO , JOSHUA D",DEM,34.44%,"24,048",13754,9989,305
213,SCHUYLKILL,"HEIDELBAUGH, HEATHER S",REP,62.32%,"43,511",37448,5427,636
214,SCHUYLKILL,"WASSMER, DANIEL",LIB,2.14%,"1,491",1210,266,15
215,SCHUYLKILL,"WEISS, RICHARD L",GRN,1.10%,770,561,195,14
216,SNYDER,"SHAPIRO , JOSHUA D",DEM,27.89%,"5,261",2695,2529,37
217,SNYDER,"HEIDELBAUGH, HEATHER S",REP,69.55%,"13,119",11322,1677,120
218,SNYDER,"WASSMER, DANIEL",LIB,1.70%,321,234,82,5
219,SNYDER,"WEISS, RICHARD L",GRN,0.85%,161,113,47,1
220,SOMERSET,"SHAPIRO , JOSHUA D",DEM,24.67%,"9,934",5735,4085,114
221,SOMERSET,"HEIDELBAUGH, HEATHER S",REP,73.23%,"29,488",25793,3375,320
222,SOMERSET,"WASSMER, DANIEL",LIB,1.47%,592,460,125,7
223,SOMERSET,"WEISS, RICHARD L",GRN,0.63%,253,177,71,5
224,SULLIVAN,"SHAPIRO , JOSHUA D",DEM,30.22%,"1,072",625,437,10
225,SULLIVAN,"HEIDELBAUGH, HEATHER S",REP,67.10%,"2,380",2013,350,17
226,SULLIVAN,"WASSMER, DANIEL",LIB,2.00%,71,53,17,1
227,SULLIVAN,"WEISS, RICHARD L",GRN,0.68%,24,16,8,0
228,SUSQUEHANNA,"SHAPIRO , JOSHUA D",DEM,30.17%,"6,479",3118,3278,83
229,SUSQUEHANNA,"HEIDELBAUGH, HEATHER S",REP,67.00%,"14,389",12007,2105,277
230,SUSQUEHANNA,"WASSMER, DANIEL",LIB,1.84%,395,303,83,9
231,SUSQUEHANNA,"WEISS, RICHARD L",GRN,0.99%,213,139,71,3
232,TIOGA,"SHAPIRO , JOSHUA D",DEM,22.84%,"4,741",2582,2095,64
233,TIOGA,"HEIDELBAUGH, HEATHER S",REP,73.94%,"15,345",12961,2160,224
234,TIOGA,"WASSMER, DANIEL",LIB,2.24%,465,367,91,7
235,TIOGA,"WEISS, RICHARD L",GRN,0.98%,203,142,59,2
236,UNION,"SHAPIRO , JOSHUA D",DEM,38.30%,"7,619",3422,4145,52
237,UNION,"HEIDELBAUGH, HEATHER S",REP,58.89%,"11,715",9870,1708,137
238,UNION,"WASSMER, DANIEL",LIB,1.73%,344,239,104,1
239,UNION,"WEISS, RICHARD L",GRN,1.09%,216,129,87,0
240,VENANGO,"SHAPIRO , JOSHUA D",DEM,32.90%,"8,631",4505,4006,120
241,VENANGO,"HEIDELBAUGH, HEATHER S",REP,64.27%,"16,862",14455,2164,243
242,VENANGO,"WASSMER, DANIEL",LIB,1.91%,502,378,112,12
243,VENANGO,"WEISS, RICHARD L",GRN,0.92%,242,172,62,8
244,WARREN,"SHAPIRO , JOSHUA D",DEM,29.95%,"6,044",3070,2905,69
245,WARREN,"HEIDELBAUGH, HEATHER S",REP,66.52%,"13,425",11321,1924,180
246,WARREN,"WASSMER, DANIEL",LIB,2.31%,467,359,95,13
247,WARREN,"WEISS, RICHARD L",GRN,1.22%,247,167,76,4
248,WASHINGTON,"SHAPIRO , JOSHUA D",DEM,43.08%,"50,617",23789,26374,454
249,WASHINGTON,"HEIDELBAUGH, HEATHER S",REP,54.37%,"63,881",53646,9476,759
250,WASHINGTON,"WASSMER, DANIEL",LIB,1.77%,"2,081",1580,471,30
251,WASHINGTON,"WEISS, RICHARD L",GRN,0.77%,909,611,285,13
252,WAYNE,"SHAPIRO , JOSHUA D",DEM,34.87%,"9,632",4178,5391,63
253,WAYNE,"HEIDELBAUGH, HEATHER S",REP,62.64%,"17,302",14079,3060,163
254,WAYNE,"WASSMER, DANIEL",LIB,1.53%,422,311,107,4
255,WAYNE,"WEISS, RICHARD L",GRN,0.96%,265,156,106,3
256,WESTMORELAND,"SHAPIRO , JOSHUA D",DEM,41.05%,"83,550",39788,42629,1133
257,WESTMORELAND,"HEIDELBAUGH, HEATHER S",REP,56.60%,"115,208",97996,15719,1493
258,WESTMORELAND,"WASSMER, DANIEL",LIB,1.65%,"3,363",2672,631,60
259,WESTMORELAND,"WEISS, RICHARD L",GRN,0.71%,"1,436",996,414,26
260,WYOMING,"SHAPIRO , JOSHUA D",DEM,34.65%,"5,080",2567,2445,68
261,WYOMING,"HEIDELBAUGH, HEATHER S",REP,62.48%,"9,159",7619,1437,103
262,WYOMING,"WASSMER, DANIEL",LIB,1.76%,258,195,59,4
263,WYOMING,"WEISS, RICHARD L",GRN,1.11%,163,107,53,3
264,YORK,"SHAPIRO , JOSHUA D",DEM,36.50%,"86,122",36318,47786,2018
265,YORK,"HEIDELBAUGH, HEATHER S",REP,60.46%,"142,637",114693,25072,2872
266,YORK,"WASSMER, DANIEL",LIB,2.17%,"5,118",3633,1332,153
267,YORK,"WEISS, RICHARD L",GRN,0.87%,"2,046",1191,789,66
