,County,Candidate,Party,Share,Votes,Election Day,Mail,Provisional
224,SULLIVAN,"TORSELLA, JOSEPH M",DEM,25.10%,883,495,378,10
225,SULLIVAN,"GARRITY, STACY L",REP,71.69%,"2,522",2109,396,17
226,SULLIVAN,"SOLOSKI, JOSEPH P",LIB,2.27%,80,59,20,1
227,SULLIVAN,"RUNKLE, TIMOTHY",GRN,0.94%,33,22,11,0
228,SUSQUEHANNA,"TORSELLA, JOSEPH M",DEM,26.66%,"5,704",2689,2942,73
229,SUSQUEHANNA,"GARRITY, STACY L",REP,69.90%,"14,957",12335,2339,283
230,SUSQUEHANNA,"SOLOSKI, JOSEPH P",LIB,2.26%,484,367,105,12
231,SUSQUEHANNA,"RUNKLE, TIMOTHY",GRN,1.19%,254,156,95,3
232,TIOGA,"TORSELLA, JOSEPH M",DEM,20.56%,"4,255",2228,1968,59
233,TIOGA,"GARRITY, STACY L",REP,75.69%,"15,661",13207,2227,227
234,TIOGA,"SOLOSKI, JOSEPH P",LIB,2.77%,574,438,131,5
235,TIOGA,"RUNKLE, TIMOTHY",GRN,0.98%,202,124,71,7
236,UNION,"TORSELLA, JOSEPH M",DEM,34.04%,"6,769",2922,3804,43
237,UNION,"GARRITY, STACY L",REP,62.62%,"12,451",10329,1978,144
238,UNION,"SOLOSKI, JOSEPH P",LIB,1.98%,393,269,123,1
239,UNION,"RUNKLE, TIMOTHY",GRN,1.36%,270,154,114,2
240,VENANGO,"TORSELLA, JOSEPH M",DEM,26.98%,"7,033",3498,3441,94
241,VENANGO,"GARRITY, STACY L",REP,69.07%,"18,001",15187,2559,255
242,VENANGO,"SOLOSKI, JOSEPH P",LIB,2.66%,693,511,162,20
243,VENANGO,"RUNKLE, TIMOTHY",GRN,1.29%,336,220,108,8
244,WARREN,"TORSELLA, JOSEPH M",DEM,28.17%,"5,682",2900,2716,66
245,WARREN,"GARRITY, STACY L",REP,67.41%,"13,599",11366,2041,192
246,WARREN,"SOLOSKI, JOSEPH P",LIB,3.35%,675,527,136,12
247,WARREN,"RUNKLE, TIMOTHY",GRN,1.08%,217,129,84,4
248,WASHINGTON,"TORSELLA, JOSEPH M",DEM,38.12%,"44,477",20331,23735,411
249,WASHINGTON,"GARRITY, STACY L",REP,58.51%,"68,257",56053,11418,786
250,WASHINGTON,"SOLOSKI, JOSEPH P",LIB,2.42%,"2,827",2060,733,34
251,WASHINGTON,"RUNKLE, TIMOTHY",GRN,0.94%,"1,101",667,420,14
252,WAYNE,"TORSELLA, JOSEPH M",DEM,30.46%,"8,363",3428,4879,56
253,WAYNE,"GARRITY, STACY L",REP,66.40%,"18,233",14667,3397,169
254,WAYNE,"SOLOSKI, JOSEPH P",LIB,1.99%,547,411,132,4
255,WAYNE,"RUNKLE, TIMOTHY",GRN,1.15%,317,157,158,2
256,WESTMORELAND,"TORSELLA, JOSEPH M",DEM,35.64%,"71,908",33077,37831,1000
257,WESTMORELAND,"GARRITY, STACY L",REP,61.30%,"123,694",102843,19276,1575
258,WESTMORELAND,"SOLOSKI, JOSEPH P",LIB,2.16%,"4,358",3285,991,82
259,WESTMORELAND,"RUNKLE, TIMOTHY",GRN,0.90%,"1,815",1159,622,34
260,WYOMING,"TORSELLA, JOSEPH M",DEM,29.41%,"4,270",2064,2152,54
261,WYOMING,"GARRITY, STACY L",REP,67.17%,"9,751",7986,1649,116
262,WYOMING,"SOLOSKI, JOSEPH P",LIB,2.23%,324,245,76,3
263,WYOMING,"RUNKLE, TIMOTHY",GRN,1.18%,172,105,64,3
264,YORK,"TORSELLA, JOSEPH M",DEM,33.73%,"79,288",32595,44811,1882
265,YORK,"GARRITY, STACY L",REP,62.33%,"146,529",116589,27014,2926
266,YORK,"SOLOSKI, JOSEPH P",LIB,2.55%,"5,999",4232,1591,176
267,YORK,"RUNKLE, TIMOTHY",GRN,1.39%,"3,267",1937,1224,106
